campaign_id,campaign_name,channel,start_date,end_date,target_audience,region,spend_inr,impressions,clicks,conversions,revenue_inr
1179,Ayurvedic Range Launch,Email,2024-01-29,2024-02-19,Male 35-44,West,1459.32,47777,817,52,57731.18
1665,Ayurvedic Range Launch,Google Ads,2024-11-14,2024-11-27,Male 45+,West,40790.41,1371537,33827,1556,1305729.84
1798,Herbal Range Awareness,Email,2024-10-30,2024-11-08,Female 25-34,North,4460.42,177985,4765,161,110861.2
1396,Clearance Sale Push,Email,2024-09-05,2024-10-02,Female 35-44,West,1905.7,62150,1920,35,23041.61
1160,Ayurvedic Range Launch,Email,2024-01-12,2024-01-19,Female 25-34,Central,7317.47,190881,1691,124,192518.24
1429,Baby Care Trust Campaign,YouTube,2024-04-06,2024-04-26,Female 45+,South,39663.1,1548782,37434,1172,701517.37
1077,Festive Gift Bundle,Facebook,2024-09-21,2024-09-29,Female 25-34,West,9690.51,184195,3403,156,242582.77
1595,Anti-Ageing Serum Push,Email,2024-07-14,2024-07-19,Male 18-24,Central,6092.9,236321,6588,395,397287.84
1784,Monsoon Skincare Push,Email,2024-03-11,2024-03-18,Male 25-34,Central,5243.17,112725,2739,161,78789.26
1326,Hair Care Revamp,Google Ads,2024-09-20,2024-10-16,Female 18-24,North,72158.45,1282556,20479,1092,961045.35
1457,Influencer Collab - Skincare,Google Ads,2024-02-16,2024-03-17,Male 45+,West,33296.08,685737,15277,1140,505894.6
1084,Monsoon Skincare Push,Instagram,2024-02-10,2024-02-25,Female 25-34,South,23373.28,611162,16214,351,348777.17
1404,Influencer Collab - Skincare,Instagram,2024-11-21,2024-12-12,Female 25-34,East,48709.84,904014,19177,417,294186.89
1345,Wedding Season Special,Instagram,2024-04-02,2024-04-18,Female 25-34,East,30052.78,837158,14422,912,734804.23
1741,Herbal Range Awareness,Google Ads,2024-01-22,2024-02-06,Female 35-44,West,74280.91,2939136,27485,932,1181227.33
1625,Anti-Ageing Serum Push,Google Ads,2024-02-29,2024-03-30,Female 45+,East,49962.66,1992159,46750,2231,3348505.73
1819,Festive Gift Bundle,Instagram,2024-05-03,2024-05-25,Female 25-34,South,12345.53,347241,2710,76,87089.6
1794,Monsoon Skincare Push,Facebook,2024-03-20,2024-03-28,Female 25-34,Central,47957.76,798475,22445,1416,1050068.93
1240,Festive Gift Bundle,Email,2024-03-09,2024-04-03,Male 45+,West,4737.88,108465,2125,58,92500.02
